"ID","UserID","0","1","1000","1001","AK09911 Magnetometer","AK09911 Magnetometer -Wakeup Secondary","AK09911 Magnetometer -Wakeup Secondary Accuracy","AK09911 Magnetometer Accuracy","AK09911 Magnetometer Uncalibrated","AK09911 Magnetometer Uncalibrated -Wakeup Secondary","AK09911 Magnetometer Uncalibrated -Wakeup Secondary Accuracy","AK09911 Magnetometer Uncalibrated Accuracy","AMD","AMD Accuracy","BMP280 Pressure","BMP280 Pressure -Wakeup Secondary","BMP280 Pressure -Wakeup Secondary Accuracy","BMP280 Pressure Accuracy","Coarse Motion Classifier","Coarse Motion Classifier Accuracy","Date","ExitClicked","Game Rotation Vector","Game Rotation Vector -Wakeup Secondary","Game Rotation Vector -Wakeup Secondary Accuracy","Game Rotation Vector Accuracy","Gaze Detector -Wakeup","Gaze Detector -Wakeup Accuracy","Gaze Detector Secondary","Gaze Detector Secondary Accuracy","GeoMagnetic Rotation Vector","GeoMagnetic Rotation Vector -Wakeup Secondary","GeoMagnetic Rotation Vector -Wakeup Secondary Accuracy","GeoMagnetic Rotation Vector Accuracy","Gravity","Gravity -Wakeup Secondary","Gravity -Wakeup Secondary Accuracy","Gravity Accuracy","Heart Rate Monitor","Heart Rate Monitor -Wakeup Secondary","Heart Rate Monitor -Wakeup Secondary Accuracy","Heart Rate Monitor Accuracy","ICP-10100 Pressure","ICP-10100 Pressure -Wakeup Secondary","ICP-10100 Pressure -Wakeup Secondary Accuracy","ICP-10100 Pressure Accuracy","LSM6DS3 Accelerometer","LSM6DS3 Accelerometer -Wakeup Secondary","LSM6DS3 Accelerometer -Wakeup Secondary Accuracy","LSM6DS3 Accelerometer Accuracy","LSM6DS3 Accelerometer Uncalibrated","LSM6DS3 Accelerometer Uncalibrated -Wakeup Secondary","LSM6DS3 Accelerometer Uncalibrated -Wakeup Secondary Accuracy","LSM6DS3 Accelerometer Uncalibrated Accuracy","LSM6DS3 Gyroscope","LSM6DS3 Gyroscope -Wakeup Secondary","LSM6DS3 Gyroscope -Wakeup Secondary Accuracy","LSM6DS3 Gyroscope Accuracy","LSM6DS3 Gyroscope Uncalibrated","LSM6DS3 Gyroscope Uncalibrated -Wakeup Secondary","LSM6DS3 Gyroscope Uncalibrated -Wakeup Secondary Accuracy","LSM6DS3 Gyroscope Uncalibrated Accuracy","LTR308 ALSPS","LTR308 ALSPS -Wakeup Secondary","LTR308 ALSPS -Wakeup Secondary Accuracy","LTR308 ALSPS Accuracy","Linear Acceleration","Linear Acceleration -Wakeup Secondary","Linear Acceleration -Wakeup Secondary Accuracy","Linear Acceleration Accuracy","Orientation","Orientation -Wakeup Secondary","Orientation -Wakeup Secondary Accuracy","Orientation Accuracy","PAH8011 PPG","PAH8011 PPG -Wakeup Secondary","PAH8011 PPG -Wakeup Secondary Accuracy","PAH8011 PPG Accuracy","PAH8011 Touch","PAH8011 Touch -Wakeup Secondary","PAH8011 Touch -Wakeup Secondary Accuracy","PAH8011 Touch Accuracy","Pedometer","Pedometer Accuracy","QuitClicked","RMD","RMD Accuracy","Rotation Vector","Rotation Vector -Wakeup Secondary","Rotation Vector -Wakeup Secondary Accuracy","Rotation Vector Accuracy","Significant Motion Detector","StartClicked","Step Counter","Step Counter -Wakeup Secondary","Step Counter -Wakeup Secondary Accuracy","Step Counter Accuracy","Step Detector","Step Detector -Wakeup Secondary","Step Detector -Wakeup Secondary Accuracy","Step Detector Accuracy","Time","TraceTime","UnGaze Detector","UnGaze Detector Accuracy","Wrist Tilt Gesture","Wrist Tilt Gesture Accuracy","tsl258x-light","tsl258x-light Accuracy"
"7923","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","11:49:02.566","","","","","","",""
"7924","vapor2","","","","1","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:05.399","","","","","","",""
"7925","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","11:49:22.404","","","","","","",""
"7926","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-03","","[0.17459592, 0.10264655, 0.70262635, 0.68212616]","[0.17459592, 0.10264655, 0.70262635, 0.68212616]","3","3","","","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[1.0327934, 3.7504282, 9.002111]","[1.0327934, 3.7504282, 9.002111]","3","3","","[0]","0","","[1004.557]","[1004.557]","3","3","[0.99472046, 3.8053741, 9.133713]","[0.99472046, 3.8053741, 9.133713]","2","2","[0.99472046, 3.8053741, 9.133713, 0, 0, 0]","[0.99472046, 3.8053741, 9.133713, 0, 0, 0]","3","3","[-7.7819824E-4, -0.015411377, 0.03715515]","[-7.7819824E-4, -0.015411377, 0.03715515]","3","3","[0.007217407, 0.03555298, 4.8828125E-4, 0.0079956055, 0.050964355, -0.03666687]","[0.007217407, 0.03555298, 4.8828125E-4, 0.0079956055, 0.050964355, -0.03666687]","3","3","[783]","[783]","3","3","[-0.053188562, 5.6266785E-5, -1.4972687E-4]","[-0.053188562, 5.6266785E-5, -1.4972687E-4]","3","3","","","","","[1.492599E-39, 2.184951E-39, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[1]","[1]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8220]","[1]","3","3","","","","","11:49:24.525","","","","","","",""
"7927","vapor2","","","1","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:24.996","","","","","","",""
"7928","vapor2","","1","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:27.102","","","","","","",""
"7929","vapor2","","","","","","","","","","","","","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","2019-09-03","","[0.17842884, 0.13717286, 0.7042533, 0.6733306]","[0.17842884, 0.13717286, 0.7042533, 0.6733306]","3","3","","","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","[0.6530523, 4.2511053, 8.813173]","[0.6530523, 4.2511053, 8.813173]","3","3","","[0]","0","","[1004.5533]","[1004.5533]","3","3","[0.5656891, 4.3334656, 8.920502]","[0.5656891, 4.3334656, 8.920502]","2","2","[0.5656891, 4.3334656, 8.920502, 0, 0, 0]","[0.5656891, 4.3334656, 8.920502, 0, 0, 0]","3","3","[0.0499115, 0.04396057, -0.013305664]","[0.0499115, 0.04396057, -0.013305664]","3","3","[0.057907104, 0.09492493, -0.049972534, 0.0079956055, 0.050964355, -0.03666687]","[0.057907104, 0.09492493, -0.049972534, 0.0079956055, 0.050964355, -0.03666687]","3","3","[55]","[55]","3","3","[-0.097803414, 0.014398575, -0.033566475]","[-0.097803414, 0.014398575, -0.033566475]","3","3","","","","","[1.56789E-39, 2.214835E-39, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","","","3","[1]","[1]","3","3","","","","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","3","","","","","","","[8220]","[1]","3","3","","","","","11:49:34.323","","","","","","",""
"7930","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:35.209","1","","","","","",""
"7931","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:38.664","0","","","","","",""
"7932","vapor2","","","","","","","","","","","","","","","","","","","","","2019-09-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11:49:43.553","0","","","","","",""
